"timetable_id","route_id","direction_id","start_date","end_date","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_time","end_time","timetable_label","service_notes","orientation","timetable_page_id","timetable_sequence","direction_name","include_exceptions","show_trip_continuation"
"120","13BU","0","20260620","20260731","0","0","0","0","0","0","1","21:00:00","27:00:00","DIREZIONE: P.STATUTO, PASSAGGI SERALI","frequenza","horizontal","13BU_Di","5","","0","0"
"121","14U","1","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: PIAZZA SOLFERINO ","dal lunedì al venerdì","horizontal","14U_As","0","","0","0"
"122","14U","1","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: PIAZZA SOLFERINO ","sabato","horizontal","14U_As","1","","0","0"
"123","14U","1","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: PIAZZA SOLFERINO ","domenica e festivi","horizontal","14U_As","2","","0","0"
"124","14U","0","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: VIA AMENDOLA (NICHELINO)","dal lunedì al venerdì","horizontal","14U_Di","0","","0","0"
"125","14U","0","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: VIA AMENDOLA (NICHELINO)","sabato","horizontal","14U_Di","1","","0","0"
"126","14U","0","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: VIA AMENDOLA (NICHELINO)","domenica e festivi","horizontal","14U_Di","2","","0","0"
"127","1432E","1","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: None - Alpignano (Linea di Gronda)","dal lunedì al venerdì","horizontal","1432E_As","0","","0","0"
"128","1432E","1","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: None - Alpignano (Linea di Gronda)","sabato","horizontal","1432E_As","1","","0","0"
"129","1432E","1","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: None - Alpignano (Linea di Gronda)","domenica e festivi","horizontal","1432E_As","2","","0","0"
"130","1432E","0","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: Alpignano - None (Linea di Gronda)","dal lunedì al venerdì","horizontal","1432E_Di","0","","0","0"
"131","1432E","0","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: Alpignano - None (Linea di Gronda)","sabato","horizontal","1432E_Di","1","","0","0"
"132","1432E","0","20260620","20260731","0","0","0","0","0","0","1","","","DIREZIONE: Alpignano - None (Linea di Gronda)","domenica e festivi","horizontal","1432E_Di","2","","0","0"
"133","1435E","1","20260620","20260731","1","1","1","1","1","0","0","","","DIREZIONE: Torino - C.A.A.T. - SITO","dal lunedì al venerdì","horizontal","1435E_As","0","","0","0"
"134","1435E","1","20260620","20260731","0","0","0","0","0","1","0","","","DIREZIONE: Torino - C.A.A.T. - SITO","sabato","horizontal","1435E_As","1","","0","0"
